Time (ms),Name,Value
4,"Target RPM","4824.6"
6,"Left speed","4880.0"
6,"D","3.0E-5"
6,"I","1.0E-4"
7,"PID output","0.8095787902343748"
7,"P","1.0E-4"
7,"PID at Target","false"
7,"Right speed","4880.0"
9367,"Left speed","0.0"
9368,"Left speed","0.0"
9469,"Right speed","217.14285278320312"
9469,"Right speed","217.14285278320312"
9469,"PID output","1.3792136478393553"
9469,"PID output","1.3792136478393553"
9470,"Left speed","137.14285278320312"
9470,"Left speed","137.14285278320312"
9569,"Right speed","1405.71435546875"
9570,"Right speed","1405.71435546875"
9570,"PID output","0.8162085029418942"
9570,"PID output","0.8162085029418942"
9570,"Left speed","1211.4285888671875"
9571,"Left speed","1211.4285888671875"
9668,"PID output","0.56131703125"
9668,"PID output","0.56131703125"
9668,"Left speed","2525.71435546875"
9668,"Left speed","2525.71435546875"
9668,"Right speed","2731.4287109375"
9668,"Right speed","2731.4287109375"
9768,"PID output","0.639030654296875"
9769,"PID output","0.639030654296875"
9769,"Right speed","3771.4287109375"
9769,"Right speed","3771.4287109375"
9769,"Left speed","3634.2861328125"
9769,"Left speed","3634.2861328125"
9869,"PID output","1.05046"
9870,"PID output","1.05046"
9870,"Left speed","4320.0"
9870,"Left speed","4320.0"
9870,"Right speed","4400.00048828125"
9870,"Right speed","4400.00048828125"
9969,"PID output","1.011602822265625"
9970,"PID output","1.011602822265625"
9970,"Left speed","4708.57177734375"
9970,"Left speed","4708.57177734375"
9970,"Right speed","4845.71484375"
9970,"Right speed","4845.71484375"
10068,"PID output","0.8771695777343749"
10068,"PID output","0.8771695777343749"
10068,"Left speed","5011.4287109375"
10068,"Left speed","5011.4287109375"
10068,"Right speed","5040.0"
10068,"Right speed","5040.0"
10171,"PID output","0.881207031835937"
10171,"PID output","0.881207031835937"
10171,"Left speed","5177.14208984375"
10171,"Left speed","5177.14208984375"
10171,"Right speed","5205.7138671875"
10171,"Right speed","5205.7138671875"
10269,"PID output","0.8763254937499988"
10269,"PID output","0.8763254937499988"
10269,"Right speed","5331.4287109375"
10269,"Right speed","5331.4287109375"
10269,"Left speed","5314.2861328125"
10269,"Left speed","5314.2861328125"
10370,"PID output","0.9162231812499981"
10370,"PID output","0.9162231812499981"
