Time (ms),Name,Value
2,"Right speed","4822.857421875"
2,"Target RPM","4824.6"
2,"D_index","0.0"
2,"Left speed","4822.8564453125"
2,"I_index","0.0"
2,"D","3.0E-5"
2,"P_index","0.0"
2,"I","1.0E-4"
2,"PID output","0.8173814105468682"
2,"P","1.0E-4"
2,"PID at Target","false"
2,"indexer rpm","0.0"
2,"Target Index RPM","0.0"
40720,"Left speed","0.0"
40720,"Left speed","0.0"
40721,"Right speed","-0.0"
40721,"Right speed","-0.0"
40721,"PID output","1.3189654550781182"
40721,"PID output","1.3189654550781182"
40821,"PID output","1.3907260258254937"
40821,"PID output","1.3907260258254937"
40821,"Left speed","234.2857208251953"
40821,"Left speed","234.2857208251953"
40821,"Right speed","297.14288330078125"
40821,"Right speed","297.14288330078125"
40822,"indexer rpm","2.0"
40822,"indexer rpm","2.0"
40922,"PID output","1.3716028466796875"
40923,"PID output","1.3716028466796875"
40923,"Left speed","1108.571533203125"
40923,"Left speed","1108.571533203125"
40923,"Right speed","1228.571533203125"
40923,"Right speed","1228.571533203125"
40923,"indexer rpm","0.0"
40923,"indexer rpm","0.0"
41022,"Left speed","2405.71435546875"
41022,"Left speed","2405.71435546875"
41022,"Right speed","2531.4287109375"
41022,"Right speed","2531.4287109375"
41022,"PID output","1.241888564453125"
41022,"PID output","1.241888564453125"
41022,"indexer rpm","-1.0"
41022,"indexer rpm","-1.0"
41123,"Left speed","3354.2861328125"
41123,"Left speed","3354.2861328125"
41123,"Right speed","3417.14306640625"
41123,"Right speed","3417.14306640625"
41123,"PID output","1.14703138671875"
41123,"PID output","1.14703138671875"
41123,"indexer rpm","0.0"
41123,"indexer rpm","0.0"
41222,"Left speed","3742.857666015625"
41222,"Left speed","3742.857666015625"
41222,"Right speed","3771.42822265625"
41222,"Right speed","3771.42822265625"
41222,"PID output","1.1081742333984375"
41222,"PID output","1.1081742333984375"
41322,"Left speed","4074.28662109375"
41322,"Left speed","4074.28662109375"
41322,"Right speed","4102.857421875"
41322,"Right speed","4102.857421875"
41322,"PID output","1.075031337890625"
41322,"PID output","1.075031337890625"
41422,"Left speed","4422.85791015625"
41422,"Left speed","4422.85791015625"
41422,"Right speed","4457.142578125"
41422,"Right speed","4457.142578125"
41422,"PID output","1.040174208984375"
41422,"PID output","1.040174208984375"
41522,"Left speed","4680.0"
41522,"Left speed","4680.0"
41522,"Right speed","4697.1435546875"
41522,"Right speed","4697.1435546875"
41522,"PID output","1.0144600000000001"
41522,"PID output","1.0144600000000001"
41622,"Left speed","4788.5712890625"
41622,"Left speed","4788.5712890625"
41622,"Right speed","4794.2861328125"
41622,"Right speed","4794.2861328125"
41622,"PID output","1.0036028710937501"
41622,"PID output","1.0036028710937501"
41723,"Left speed","4868.5712890625"
41723,"Left speed","4868.5712890625"
41723,"Right speed","4874.28662109375"
41723,"Right speed","4874.28662109375"
41723,"PID output","0.99518950078125"
41723,"PID output","0.99518950078125"
41826,"Left speed","5005.7138671875"
41826,"Left speed","5005.7138671875"
41826,"Right speed","5017.14404296875"
41826,"Right speed","5017.14404296875"
41826,"PID output","0.9790872507812497"
41826,"PID output","0.9790872507812497"
41923,"PID output","0.9636021374999999"
41923,"PID output","0.9636021374999999"
41923,"Left speed","5114.28515625"
41923,"Left speed","5114.28515625"
41923,"Right speed","5125.71484375"
41923,"Right speed","5125.71484375"
42022,"PID output","0.9483683757812496"
42023,"PID output","0.9483683757812496"
42023,"Left speed","5200.0"
42023,"Left speed","5200.0"
42023,"Right speed","5205.71484375"
42023,"Right speed","5205.71484375"
42123,"Left speed","5251.42919921875"
42123,"Left speed","5251.42919921875"
42123,"Right speed","5262.85791015625"
42123,"Right speed","5262.85791015625"
42123,"PID output","0.9350317292968752"
42123,"PID output","0.9350317292968752"
42223,"Left speed","5280.001953125"
42223,"Left speed","5280.001953125"
42223,"Right speed","5291.4296875"
42223,"Right speed","5291.4296875"
42223,"PID output","0.9232264226562505"
42223,"PID output","0.9232264226562505"
42323,"Left speed","5314.287109375"
42323,"Left speed","5314.287109375"
42323,"PID output","0.910255588671876"
42323,"PID output","0.910255588671876"
42323,"Right speed","5308.5732421875"
42323,"Right speed","5308.5732421875"
42424,"PID output","0.9004618464843764"
42424,"PID output","0.9004618464843764"
42424,"Right speed","5314.287109375"
42424,"Right speed","5314.287109375"
42524,"PID output","0.8913080574218768"
42524,"PID output","0.8913080574218768"
42525,"Left speed","5308.5732421875"
42525,"Left speed","5308.5732421875"
42525,"Right speed","5308.5732421875"
42525,"Right speed","5308.5732421875"
42624,"PID output","0.8829314656250022"
42624,"PID output","0.8829314656250022"
42624,"Left speed","5297.14453125"
42624,"Left speed","5297.14453125"
42624,"Right speed","5297.14453125"
42624,"Right speed","5297.14453125"
42724,"Left speed","5280.0009765625"
42724,"Left speed","5280.0009765625"
42724,"Right speed","5280.0009765625"
42724,"Right speed","5280.0009765625"
42724,"PID output","0.8754006570312522"
42724,"PID output","0.8754006570312522"
42824,"Right speed","5251.42822265625"
42825,"Right speed","5251.42822265625"
42825,"PID output","0.8688297625000024"
42825,"PID output","0.8688297625000024"
42825,"Left speed","5257.14404296875"
42825,"Left speed","5257.14404296875"
42924,"PID output","0.8633103523437523"
42924,"PID output","0.8633103523437523"
42924,"Left speed","5228.572265625"
42924,"Left speed","5228.572265625"
42924,"Right speed","5228.5712890625"
42924,"Right speed","5228.5712890625"
43026,"PID output","0.857745227343752"
43026,"PID output","0.857745227343752"
43026,"Right speed","5205.7138671875"
43026,"Right speed","5205.7138671875"
43026,"Left speed","5205.71484375"
43026,"Left speed","5205.71484375"
43125,"Left speed","5182.8583984375"
43125,"Left speed","5182.8583984375"
43125,"Right speed","5177.142578125"
43125,"Right speed","5177.142578125"
43125,"PID output","0.8527285691406272"
43125,"PID output","0.8527285691406272"
43224,"Left speed","5154.2861328125"
43224,"Left speed","5154.2861328125"
43224,"Right speed","5148.5712890625"
43225,"Right speed","5148.5712890625"
43225,"PID output","0.8487634988281275"
43225,"PID output","0.8487634988281275"
43325,"Left speed","5085.71337890625"
43325,"Left speed","5085.71337890625"
43325,"Right speed","5085.71484375"
43325,"Right speed","5085.71484375"
43325,"PID output","0.8497813503906273"
43325,"PID output","0.8497813503906273"
43425,"PID output","0.8489590261718777"
43425,"PID output","0.8489590261718777"
43425,"Left speed","5045.7138671875"
43425,"Left speed","5045.7138671875"
43425,"Right speed","5040.0"
43425,"Right speed","5040.0"
43525,"PID output","0.8477138230468774"
43525,"PID output","0.8477138230468774"
43525,"Left speed","5017.14306640625"
43525,"Left speed","5017.14306640625"
43525,"Right speed","5017.142578125"
43525,"Right speed","5017.142578125"
43625,"PID output","0.8451200652343772"
43625,"PID output","0.8451200652343772"
43625,"Left speed","5005.71484375"
43625,"Left speed","5005.71484375"
43625,"Right speed","5005.71484375"
43625,"Right speed","5005.71484375"
43725,"Left speed","4994.287109375"
43725,"Left speed","4994.287109375"
43725,"Right speed","4994.287109375"
43725,"Right speed","4994.287109375"
43725,"PID output","0.8428233855468776"
43725,"PID output","0.8428233855468776"
43826,"Left speed","4971.4306640625"
43826,"Left speed","4971.4306640625"
43826,"Right speed","4971.4306640625"
43826,"Right speed","4971.4306640625"
43826,"PID output","0.8419895613281273"
43826,"PID output","0.8419895613281273"
43926,"PID output","0.8402646101562519"
43926,"PID output","0.8402646101562519"
43926,"Left speed","4960.0"
43926,"Left speed","4960.0"
43926,"Right speed","4960.0009765625"
43926,"Right speed","4960.0009765625"
44026,"PID output","0.8388595437500016"
44026,"PID output","0.8388595437500016"
