Time (ms),Name,Value
0,"Right speed","4891.429688"
1,"Target RPM","4824.6"
1,"D_index","0.0"
1,"I_index","0.0"
1,"D","3.0E-5"
1,"P_index","0.0"
1,"I","1.0E-4"
1,"P","1.0E-4"
1,"Target Index RPM","0.0"
57591,"indexer rpm","0.0"
57591,"indexer rpm","0.0"
57591,"indexer rpm","0.0"
57591,"indexer rpm","0.0"
57592,"Left speed","0.0"
57592,"Left speed","0.0"
57592,"Left speed","0.0"
57592,"Left speed","0.0"
57592,"Right speed","-0.0"
57592,"Right speed","-0.0"
57592,"Right speed","-0.0"
57592,"Right speed","-0.0"
57592,"PID output","0.5017584"
57592,"PID output","0.5017584"
57592,"PID output","0.5017584"
57592,"PID output","0.5017584"
57592,"PID at Target","false"
57592,"PID at Target","false"
57597,"PID at Target","false"
57598,"PID at Target","false"
57679,"indexer rpm","1.0"
57679,"indexer rpm","1.0"
57679,"indexer rpm","1.0"
57679,"indexer rpm","1.0"
57679,"Left speed","188.57144165039062"
57679,"Left speed","188.57144165039062"
57679,"Left speed","188.57144165039062"
57679,"Left speed","188.57144165039062"
57679,"PID output","0.6165570262161255"
57679,"PID output","0.6165570262161255"
57679,"PID output","0.6165570262161255"
57679,"PID output","0.6165570262161255"
57679,"Right speed","274.28570556640625"
57679,"Right speed","274.28570556640625"
57679,"Right speed","274.28570556640625"
57679,"Right speed","274.28570556640625"
57778,"indexer rpm","-1.0"
57778,"indexer rpm","-1.0"
57778,"indexer rpm","-1.0"
57778,"indexer rpm","-1.0"
57778,"Left speed","982.857177734375"
57778,"Left speed","982.857177734375"
57778,"Left speed","982.857177734375"
57778,"Left speed","982.857177734375"
57778,"Right speed","1108.571533203125"
57779,"Right speed","1108.571533203125"
57779,"Right speed","1108.571533203125"
57779,"Right speed","1108.571533203125"
57779,"PID output","0.6349004526077273"
57779,"PID output","0.6349004526077273"
57779,"PID output","0.6349004526077273"
57779,"PID output","0.6349004526077273"
57878,"PID output","0.6268895839553835"
57878,"PID output","0.6268895839553835"
57878,"PID output","0.6268895839553835"
57878,"PID output","0.6268895839553835"
57878,"indexer rpm","0.0"
57878,"indexer rpm","0.0"
57878,"indexer rpm","0.0"
57878,"indexer rpm","0.0"
57878,"Left speed","1600.0"
57878,"Left speed","1600.0"
57878,"Left speed","1600.0"
57878,"Left speed","1600.0"
57878,"Right speed","1680.0001220703125"
57878,"Right speed","1680.0001220703125"
57878,"Right speed","1680.0001220703125"
57878,"Right speed","1680.0001220703125"
57978,"Left speed","1880.0"
57978,"Left speed","1880.0"
57978,"Left speed","1880.0"
57978,"Left speed","1880.0"
57978,"Right speed","1920.0"
57978,"Right speed","1920.0"
57978,"Right speed","1920.0"
57978,"Right speed","1920.0"
57978,"PID output","0.664341579072571"
57978,"PID output","0.664341579072571"
57978,"PID output","0.664341579072571"
57978,"PID output","0.664341579072571"
58079,"Left speed","2125.71435546875"
58079,"Left speed","2125.71435546875"
58079,"Left speed","2125.71435546875"
58079,"Left speed","2125.71435546875"
58079,"Right speed","2177.14306640625"
58079,"Right speed","2177.14306640625"
58079,"Right speed","2177.14306640625"
58079,"Right speed","2177.14306640625"
58079,"PID output","0.6921249941116334"
58079,"PID output","0.6921249941116334"
58079,"PID output","0.6921249941116334"
58079,"PID output","0.6921249941116334"
58179,"Left speed","2440.00048828125"
58179,"Left speed","2440.00048828125"
58179,"Left speed","2440.00048828125"
58179,"Left speed","2440.00048828125"
58179,"Right speed","2497.1435546875"
58179,"Right speed","2497.1435546875"
58179,"Right speed","2497.1435546875"
58179,"Right speed","2497.1435546875"
58179,"PID output","0.7076341210647585"
58179,"PID output","0.7076341210647585"
58179,"PID output","0.7076341210647585"
58179,"PID output","0.7076341210647585"
58279,"Left speed","2811.42919921875"
58279,"Left speed","2811.42919921875"
58279,"Left speed","2811.42919921875"
58279,"Left speed","2811.42919921875"
58279,"Right speed","2845.71435546875"
58279,"Right speed","2845.71435546875"
58279,"Right speed","2845.71435546875"
58279,"Right speed","2845.71435546875"
58279,"PID output","0.7231889404006959"
58279,"PID output","0.7231889404006959"
58279,"PID output","0.7231889404006959"
58279,"PID output","0.7231889404006959"
58379,"PID output","0.7359095995803833"
58379,"PID output","0.7359095995803833"
58379,"PID output","0.7359095995803833"
58379,"PID output","0.7359095995803833"
58379,"Left speed","2994.285888671875"
58379,"Left speed","2994.285888671875"
58379,"Left speed","2994.285888671875"
58379,"Left speed","2994.285888671875"
58379,"Right speed","3028.5712890625"
58379,"Right speed","3028.5712890625"
58379,"Right speed","3028.5712890625"
58379,"Right speed","3028.5712890625"
58479,"Left speed","3188.5712890625"
58479,"Left speed","3188.5712890625"
58479,"Left speed","3188.5712890625"
58479,"Left speed","3188.5712890625"
58479,"Right speed","3222.85693359375"
58479,"Right speed","3222.85693359375"
58479,"Right speed","3222.85693359375"
58479,"Right speed","3222.85693359375"
58479,"PID output","0.7499787011428833"
58479,"PID output","0.7499787011428833"
58479,"PID output","0.7499787011428833"
58479,"PID output","0.7499787011428833"
58580,"Left speed","3377.142578125"
58580,"Left speed","3377.142578125"
58580,"Left speed","3377.142578125"
58580,"Left speed","3377.142578125"
58580,"Right speed","3405.71435546875"
58580,"Right speed","3405.71435546875"
58580,"Right speed","3405.71435546875"
58580,"Right speed","3405.71435546875"
58580,"PID output","0.7611907265335086"
58580,"PID output","0.7611907265335086"
58580,"PID output","0.7611907265335086"
58580,"PID output","0.7611907265335086"
58680,"Left speed","3542.85791015625"
58680,"Left speed","3542.85791015625"
58680,"Left speed","3542.85791015625"
58680,"Left speed","3542.85791015625"
58680,"Right speed","3565.714599609375"
58680,"Right speed","3565.714599609375"
58680,"Right speed","3565.714599609375"
58680,"Right speed","3565.714599609375"
58680,"PID output","0.7716255058303837"
58680,"PID output","0.7716255058303837"
58680,"PID output","0.7716255058303837"
58680,"PID output","0.7716255058303837"
58780,"Left speed","3725.71435546875"
58780,"Left speed","3725.71435546875"
58780,"Left speed","3725.71435546875"
58780,"Left speed","3725.71435546875"
58780,"Right speed","3748.57177734375"
58780,"Right speed","3748.57177734375"
58780,"Right speed","3748.57177734375"
58780,"Right speed","3748.57177734375"
58780,"PID output","0.7808032724319464"
58780,"PID output","0.7808032724319464"
58780,"PID output","0.7808032724319464"
58780,"PID output","0.7808032724319464"
58879,"PID output","0.784838179658509"
58879,"PID output","0.784838179658509"
58879,"PID output","0.784838179658509"
58879,"PID output","0.784838179658509"
58879,"Left speed","3851.428466796875"
58879,"Left speed","3851.428466796875"
58879,"Left speed","3851.428466796875"
58879,"Left speed","3851.428466796875"
58879,"Right speed","3868.572265625"
58879,"Right speed","3868.572265625"
58879,"Right speed","3868.572265625"
58879,"Right speed","3868.572265625"
58980,"Left speed","3959.99951171875"
58980,"Left speed","3959.99951171875"
58980,"Left speed","3959.99951171875"
58980,"Left speed","3959.99951171875"
58980,"Right speed","3977.1435546875"
58980,"Right speed","3977.1435546875"
58980,"Right speed","3977.1435546875"
58980,"Right speed","3977.1435546875"
58980,"PID output","0.7917072948928843"
58980,"PID output","0.7917072948928843"
58980,"PID output","0.7917072948928843"
58980,"PID output","0.7917072948928843"
59080,"Left speed","4057.14208984375"
59080,"Left speed","4057.14208984375"
59080,"Left speed","4057.14208984375"
59080,"Left speed","4057.14208984375"
59080,"Right speed","4068.5712890625"
59080,"Right speed","4068.5712890625"
59080,"Right speed","4068.5712890625"
59080,"Right speed","4068.5712890625"
59080,"PID output","0.7981651054397593"
59080,"PID output","0.7981651054397593"
59080,"PID output","0.7981651054397593"
59080,"PID output","0.7981651054397593"
59180,"Left speed","4137.142578125"
59180,"Left speed","4137.142578125"
59180,"Left speed","4137.142578125"
59180,"Left speed","4137.142578125"
59180,"Right speed","4154.28564453125"
59180,"Right speed","4154.28564453125"
59180,"Right speed","4154.28564453125"
59180,"Right speed","4154.28564453125"
59180,"PID output","0.8046227323928842"
59180,"PID output","0.8046227323928842"
59180,"PID output","0.8046227323928842"
59180,"PID output","0.8046227323928842"
59280,"Left speed","4234.287109375"
59280,"Left speed","4234.287109375"
59280,"Left speed","4234.287109375"
59280,"Left speed","4234.287109375"
59280,"Right speed","4251.4296875"
59280,"Right speed","4251.4296875"
59280,"Right speed","4251.4296875"
59280,"Right speed","4251.4296875"
59280,"PID output","0.8094574296585092"
59280,"PID output","0.8094574296585092"
59280,"PID output","0.8094574296585092"
59280,"PID output","0.8094574296585092"
59382,"PID output","0.8110237187210092"
59382,"PID output","0.8110237187210092"
59382,"PID output","0.8110237187210092"
59382,"PID output","0.8110237187210092"
59383,"Left speed","4302.8583984375"
59383,"Left speed","4302.8583984375"
59383,"Left speed","4302.8583984375"
59383,"Left speed","4302.8583984375"
59383,"Right speed","4314.287109375"
59383,"Right speed","4314.287109375"
59383,"Right speed","4314.287109375"
59383,"Right speed","4314.287109375"
59480,"Left speed","4360.0"
59480,"Left speed","4360.0"
59480,"Left speed","4360.0"
59480,"Left speed","4360.0"
59481,"Right speed","4365.71533203125"
59481,"Right speed","4365.71533203125"
59481,"Right speed","4365.71533203125"
59481,"Right speed","4365.71533203125"
59481,"PID output","0.815378648408509"
59481,"PID output","0.815378648408509"
59481,"PID output","0.815378648408509"
59481,"PID output","0.815378648408509"
59581,"Left speed","4411.4287109375"
59581,"Left speed","4411.4287109375"
59581,"Left speed","4411.4287109375"
59581,"Left speed","4411.4287109375"
59581,"Right speed","4417.142578125"
59581,"Right speed","4417.142578125"
59581,"Right speed","4417.142578125"
59581,"Right speed","4417.142578125"
59581,"PID output","0.8186363945022587"
59581,"PID output","0.8186363945022587"
59581,"PID output","0.8186363945022587"
59581,"PID output","0.8186363945022587"
59682,"Left speed","4457.142578125"
59682,"Left speed","4457.142578125"
59682,"Left speed","4457.142578125"
59682,"Left speed","4457.142578125"
59682,"Right speed","4468.5712890625"
59682,"Right speed","4468.5712890625"
59682,"Right speed","4468.5712890625"
59682,"Right speed","4468.5712890625"
59682,"PID output","0.8214827343460085"
59682,"PID output","0.8214827343460085"
59682,"PID output","0.8214827343460085"
59682,"PID output","0.8214827343460085"
59781,"Left speed","4514.28564453125"
59782,"Left speed","4514.28564453125"
59782,"Left speed","4514.28564453125"
59782,"Left speed","4514.28564453125"
59782,"Right speed","4525.7138671875"
59782,"Right speed","4525.7138671875"
59782,"Right speed","4525.7138671875"
59782,"Right speed","4525.7138671875"
59782,"PID output","0.8239632636428834"
