Time (ms),Name,Value
1,"Right speed","4834.28564453125"
1,"Target RPM","4824.6"
1,"D_index","0.0"
1,"Left speed","4828.5712890625"
1,"I_index","0.0"
1,"D","3.0E-5"
1,"P_index","0.0"
1,"I","1.0E-4"
1,"PID output","0.8236390433593779"
1,"P","1.0E-4"
1,"PID at Target","false"
1,"indexer rpm","0.0"
1,"Target Index RPM","0.0"
38425,"Left speed","34.28571319580078"
38425,"Left speed","34.28571319580078"
38425,"Left speed","34.28571319580078"
38425,"Left speed","34.28571319580078"
38425,"Left speed","34.28571319580078"
38425,"Left speed","34.28571319580078"
38425,"Right speed","11.428571701049805"
38425,"Right speed","11.428571701049805"
38425,"Right speed","11.428571701049805"
38430,"Right speed","11.428571701049805"
38430,"Right speed","11.428571701049805"
38430,"Right speed","11.428571701049805"
38430,"PID output","1.3608256580932647"
38430,"PID output","1.3608256580932647"
38430,"PID output","1.3608256580932647"
38430,"PID output","1.3608256580932647"
38430,"PID output","1.3608256580932647"
38430,"PID output","1.3608256580932647"
38528,"indexer rpm","1.0"
38528,"indexer rpm","1.0"
38528,"indexer rpm","1.0"
38528,"indexer rpm","1.0"
38528,"indexer rpm","1.0"
38528,"indexer rpm","1.0"
38528,"PID output","1.410483369519046"
38528,"PID output","1.410483369519046"
38528,"PID output","1.410483369519046"
38528,"PID output","1.410483369519046"
38528,"PID output","1.410483369519046"
38528,"PID output","1.410483369519046"
38528,"Left speed","457.14288330078125"
38528,"Left speed","457.14288330078125"
38528,"Left speed","457.14288330078125"
38528,"Left speed","457.14288330078125"
38528,"Left speed","457.14288330078125"
38528,"Left speed","457.14288330078125"
38528,"Right speed","360.0"
38528,"Right speed","360.0"
38528,"Right speed","360.0"
38528,"Right speed","360.0"
38528,"Right speed","360.0"
38528,"Right speed","360.0"
38625,"Left speed","1325.71435546875"
38625,"Left speed","1325.71435546875"
38625,"Left speed","1325.71435546875"
38625,"Left speed","1325.71435546875"
38625,"Left speed","1325.71435546875"
38625,"Left speed","1325.71435546875"
38626,"Right speed","1171.4285888671875"
38626,"Right speed","1171.4285888671875"
38626,"Right speed","1171.4285888671875"
38626,"Right speed","1171.4285888671875"
38626,"Right speed","1171.4285888671875"
38626,"Right speed","1171.4285888671875"
38626,"PID output","1.349888564453125"
38626,"PID output","1.349888564453125"
38626,"PID output","1.349888564453125"
38626,"PID output","1.349888564453125"
38626,"PID output","1.349888564453125"
38626,"PID output","1.349888564453125"
38626,"indexer rpm","0.0"
38626,"indexer rpm","0.0"
38626,"indexer rpm","0.0"
38626,"indexer rpm","0.0"
38626,"indexer rpm","0.0"
38626,"indexer rpm","0.0"
38725,"Left speed","2382.857421875"
38725,"Left speed","2382.857421875"
38725,"Left speed","2382.857421875"
38725,"Left speed","2382.857421875"
38725,"Left speed","2382.857421875"
38725,"Left speed","2382.857421875"
38725,"Right speed","2240.0"
38725,"Right speed","2240.0"
38725,"Right speed","2240.0"
38725,"Right speed","2240.0"
38725,"Right speed","2240.0"
38725,"Right speed","2240.0"
38725,"PID output","1.2441742578125001"
38725,"PID output","1.2441742578125001"
38725,"PID output","1.2441742578125001"
38725,"PID output","1.2441742578125001"
38725,"PID output","1.2441742578125001"
